taz_id,node_id,was_20260722_candidate,candidate_best_rank,candidate_max_density,candidate_sector_count,major_level,outside_len_ft
4,65994,False,,,,4.0,1477.307188531536
4,1184335,False,,,,3.0,2662.8839848484577
7,998803,False,,,,3.0,0.0
7,1184321,False,,,,4.0,0.0
8,55191,False,,,,5.0,9.895991724916373
8,55382,False,,,,4.0,0.0
12,55101,False,,,,4.0,0.0
21,52602,False,,,,4.0,0.0
21,53807,True,6.0,0.0034782551702937283,1.0,4.0,0.0
22,25698,False,,,,3.0,0.0
22,52566,False,,,,3.0,1.1893120206289085
22,53724,False,,,,3.0,1.1639703334607756
40,36769,False,,,,4.0,0.0
40,37368,False,,,,4.0,603.446980300258
46,37898,False,,,,4.0,16.113280596213933
46,54135,False,,,,4.0,0.0
47,600195,False,,,,4.0,328.772483851122
47,1178451,False,,,,4.0,3.090254002417231
48,39275,False,,,,4.0,2.71048116199992
49,37806,False,,,,4.0,0.0
55,582448,False,,,,4.0,0.0
55,1045554,False,,,,4.0,6.796096147656931
56,64273,False,,,,4.0,0.0
56,65228,False,,,,3.0,3642.417433919592
56,996545,False,,,,4.0,0.0
57,64321,False,,,,4.0,0.0
57,1163074,False,,,,5.0,8.300358958463962
58,66939,False,,,,4.0,0.0
59,65407,False,,,,3.0,0.0
60,991017,False,,,,4.0,0.0
61,65410,False,,,,3.0,0.0
63,66931,False,,,,4.0,0.0
63,66979,True,8.0,0.00640984770373331,1.0,4.0,3.2631701348847097
65,66453,False,,,,4.0,3099.1420899616714
65,1164342,False,,,,4.0,0.0
66,66416,True,2.0,0.008708781916395127,7.0,4.0,0.0
67,66815,True,1.0,0.018246883265721887,1.0,3.0,0.0
67,1530775,False,,,,4.0,0.0
68,66483,False,,,,4.0,16.553182240971573
68,66768,False,,,,3.0,0.0
71,73499,False,,,,3.0,0.0
72,986192,False,,,,3.0,0.7260465462313448
74,73663,False,,,,4.0,0.0
77,993134,False,,,,3.0,0.0
79,71618,True,8.0,0.007683384174834964,1.0,3.0,3.094903572021924
80,76825,False,,,,3.0,1429.3938707374616
84,77143,False,,,,4.0,0.0
85,77136,False,,,,4.0,0.0
86,77202,False,,,,4.0,0.0
86,586270,False,,,,4.0,0.9999766082208248
87,77176,False,,,,4.0,2.6795275293872605
87,77195,True,5.0,0.017885680661734762,1.0,4.0,0.0
89,77839,False,,,,3.0,0.0
90,77819,False,,,,4.0,283.2747166743346
90,77934,False,,,,4.0,0.0
90,77969,False,,,,4.0,0.0
91,797037,False,,,,4.0,0.0
92,77217,False,,,,4.0,334.579609512348
93,77989,True,4.0,0.005565184086727137,1.0,4.0,0.0
94,77980,False,,,,4.0,0.0
94,78387,False,,,,4.0,0.0
94,78406,False,,,,3.0,157.4028853051091
95,77346,True,2.0,0.020081872974450694,5.0,3.0,8.337901064180212
97,77429,False,,,,3.0,0.0
97,991211,False,,,,3.0,6.847385620993401
98,77505,False,,,,3.0,501.30708343607694
102,77006,False,,,,3.0,29.13339869509085
102,77250,False,,,,3.0,0.0
102,1275000,False,,,,4.0,22.004131266090457
103,74555,False,,,,3.0,4.734173299912333
103,74626,False,,,,5.0,0.0
112,55668,False,,,,3.0,0.0
112,66500,False,,,,3.0,0.0
112,760779,False,,,,4.0,0.0
113,55729,True,2.0,0.0019325488304305545,5.0,3.0,0.0
114,55740,False,,,,3.0,0.0
114,66666,False,,,,4.0,0.0
116,761386,False,,,,3.0,2567.5293786004795
116,993186,False,,,,4.0,1467.8737124580337
116,1168861,False,,,,4.0,6700.291033381935
117,66819,False,,,,3.0,4.138621079498447
117,760910,False,,,,3.0,1615.1971608732092
121,68408,False,,,,4.0,0.0
121,68458,False,,,,3.0,5.907754929930138
122,819139,False,,,,4.0,20.183074463449895
