taz_id,node_id,earliest_to_final,stabilized_to_final,in_earliest,in_stabilized,in_final,density,density_rank,major_level,outside_len_ft,line_node_dist_ft
40,37501,removed,not_applicable,True,False,False,0.006686381031847808,1,4.0,1439.8936086261785,1881.6603734687205
40,551621,added,removed,False,True,False,0.006686381031847808,1,4.0,0.0,2191.3051630753375
40,599810,removed,not_applicable,True,False,False,0.004461692676122986,6,4.0,2.7409502449926975,12.413686697275793
40,600108,removed,not_applicable,True,False,False,0.0062967461994935395,3,3.0,0.0,1.947967925507177
40,872507,removed,removed,True,True,False,0.0038003330792207722,7,4.0,0.0,0.8840968953624132
40,990393,added,removed,False,True,False,0.004622011371654859,5,4.0,0.0,942.8134075550614
41,36769,removed,not_applicable,True,False,False,0.009364902918981012,1,4.0,3770.607005298328,3989.4193927885085
41,36803,added,unchanged,False,True,True,0.009364902918981012,1,4.0,4.421163058584076,3000.030971731738
41,37501,added,unchanged,False,True,True,0.006629282357570465,2,4.0,0.0,2205.398492693717
41,37506,removed,not_applicable,True,False,False,0.0025620340615245003,7,4.0,4.481206214588213,1981.5214662961776
41,990674,removed,not_applicable,True,False,False,0.006629282357570465,2,4.0,4423.946215533823,3990.8503875762362
41,994398,removed,not_applicable,True,False,False,0.004625833772566022,5,4.0,15.350466503798632,29.47581535635568
46,37898,added,added,False,False,True,0.0,0,4.0,16.113280596213933,0.0
46,54135,added,added,False,False,True,0.0,0,4.0,0.0,0.0
46,539820,added,removed,False,True,False,0.01339172725959125,1,3.0,0.0,177.79919746329537
46,565741,removed,removed,True,True,False,0.00974036773984763,5,4.0,3.0955878312364025,13.856858453361202
46,594871,removed,removed,True,True,False,0.008104739348420277,7,4.0,0.0,46.755172919867164
46,600210,removed,not_applicable,True,False,False,0.01339172725959125,1,3.0,0.0,9.090835157292522
46,991132,removed,not_applicable,True,False,False,0.0098080627831066,4,4.0,5184.602312116023,5235.829974372385
47,37855,added,removed,False,True,False,0.0063208185169186795,5,4.0,11.617269733605804,31.007519187975074
47,37859,removed,not_applicable,True,False,False,0.012902651284076227,1,4.0,2.3741347878646257,30.117331029441154
47,37905,removed,not_applicable,True,False,False,0.009776786346413574,2,4.0,206.18534018354097,580.8441094463582
47,39375,removed,not_applicable,True,False,False,0.008791547564093753,3,4.0,4511.148902425809,4511.093054537606
47,600195,added,added,False,False,True,0.0,0,4.0,328.772483851122,0.0
47,600199,added,removed,False,True,False,0.009776786346413574,2,4.0,21.00263892544011,2780.198272014192
47,1017123,removed,not_applicable,True,False,False,0.008478188142428445,4,3.0,1481.8233394207875,3069.081314708418
47,1178451,added,added,False,False,True,0.0,0,4.0,3.090254002417231,0.0
48,37807,removed,not_applicable,True,False,False,0.004306657316088033,7,4.0,7.893203089689633,1150.9673137039588
48,39275,added,added,False,False,True,0.0,0,4.0,2.71048116199992,0.0
48,39360,added,unchanged,False,True,True,0.010439706589548962,1,4.0,0.0,30.43998070389803
48,39377,removed,not_applicable,True,False,False,0.005616613610938825,5,4.0,664.4849508041146,914.0002489296855
48,600185,removed,not_applicable,True,False,False,0.00873730898283795,3,4.0,0.3343139469977275,126.16790909983115
48,872612,removed,not_applicable,True,False,False,0.009257410532947655,2,4.0,0.0,43.04524333961307
48,1172797,added,removed,False,True,False,0.00873730898283795,3,4.0,0.3851548298876688,265.44337949664504
