TAZ_ID,OLD_SHARED_NODE_ID,NEW_NODE_ID,KEEPER_TAZ_ID,OLD_OWNER_COUNT,NEW_NODE_DISTANCE_FT,NEW_NODE_MAJOR_LEVEL,NEW_NODE_OUTSIDE_GA,OUTSIDE_TAZ_LENGTH_FT,MIN_ANGLE_DEG,CROSSES_GSTDM,BOUNDARY_FALLBACK,REVIEW_WARNING
2928,155213,1613823,6103,2,427.677,5.0,0,20640.172,180.0,0,1,OUTSIDE_TAZ_GT_200
3852,155821,1661370,3863,2,1832.569,3.0,0,10.572,81.973,0,0,
3796,155945,379450,3799,2,5548.051,5.0,0,0.0,30.729,0,0,ANGLE_LT_70
5273,157055,887917,5274,2,608.304,4.0,0,15.564,106.936,0,0,
5290,157069,1035160,5273,2,12807.349,4.0,0,0.0,1.012,0,0,ANGLE_LT_70
3924,157075,923821,3925,2,1027.921,4.0,0,0.0,64.124,0,0,ANGLE_LT_70
3791,157216,388677,3790,2,242.007,4.0,0,0.0,71.241,0,0,
2309,158127,523386,2310,2,30.928,4.0,0,0.0,93.002,0,0,
3697,158355,1024387,3698,2,13587.093,4.0,0,230.416,93.07,1,1,GSTDM_CROSSING; OUTSIDE_TAZ_GT_200
3996,158546,443733,3995,2,228.957,4.0,0,0.0,52.218,0,0,ANGLE_LT_70
5289,158751,419930,5290,2,498.119,4.0,0,0.0,69.59,0,0,ANGLE_LT_70
5318,158770,940435,5317,2,16742.297,4.0,0,7.661,80.327,0,0,
5319,158775,402689,5318,2,2969.199,5.0,0,0.0,87.029,0,0,
5485,159111,1008089,5486,2,78.748,4.0,0,0.0,139.72,0,0,
5461,159115,159116,5488,2,620.986,4.0,0,9.814,73.296,0,0,
3158,159141,409827,3159,2,239.388,4.0,0,0.0,60.25,0,0,ANGLE_LT_70
812,160669,164693,811,2,2158.298,4.0,0,2467.14,101.683,0,1,OUTSIDE_TAZ_GT_200
1858,163606,1454818,1879,2,123.137,4.0,0,16.606,23.864,1,0,GSTDM_CROSSING; ANGLE_LT_70
1865,163695,655464,1866,2,234.767,4.0,0,0.0,124.294,0,0,
1871,163917,1454616,1869,2,131.052,4.0,0,0.0,105.668,0,0,
768,164527,557306,815,2,247.397,3.0,0,0.0,37.556,0,0,ANGLE_LT_70
764,164630,557572,765,2,1152.309,3.0,0,0.0,121.416,0,0,
760,164676,164674,769,2,214.149,3.0,0,212.27,86.99,0,1,OUTSIDE_TAZ_GT_200
729,165116,977025,728,2,148.143,4.0,0,4.223,111.454,0,0,
2747,165963,1366880,2756,2,47.386,4.0,0,3.808,90.252,0,0,
2912,173588,1354736,2935,2,219.632,4.0,0,62.229,100.851,0,0,
4485,182108,1021702,4489,2,601.965,4.0,0,11.601,90.884,0,0,
4482,201384,1717472,4481,2,1023.509,5.0,0,15.318,142.537,0,0,
4807,203693,1706688,4808,2,3654.474,5.0,0,0.0,98.848,0,0,
4341,205141,205142,4342,2,429.367,5.0,0,7.191,171.809,0,0,
4330,205501,727693,2462,2,1316.143,4.0,0,0.0,81.751,0,0,
4708,212711,719862,4718,2,3489.027,5.0,0,20.968,81.569,0,0,
4312,213425,213426,4313,2,866.782,3.0,0,3.923,71.111,0,0,
4677,218105,909228,4678,2,202.458,4.0,0,0.0,123.924,0,0,
788,221248,1651041,791,2,579.339,4.0,0,5.61,80.79,0,0,
773,221656,221657,798,2,1649.657,4.0,0,15.091,76.902,0,0,
771,222550,222553,772,2,2974.927,5.0,0,0.0,80.926,0,0,
